"filename", "language", "C++", "JSON with Comments", "JSON", "comment", "blank", "total"
"d:\Vscode\.vscode\cf_\banshua\1700-1900\2161B_2.cpp", "C++", 51, 0, 0, 0, 1, 52
"d:\Vscode\.vscode\cf_\banshua\1700-1900\2163B.cpp", "C++", 33, 0, 0, 13, 1, 47
"d:\Vscode\.vscode\cf_\banshua\1700-1900\2164D.cpp", "C++", 59, 0, 0, 2, 5, 66
"d:\Vscode\.vscode\cf_\banshua\1700-1900\2176D.cpp", "C++", 38, 0, 0, 1, 1, 40
"d:\Vscode\.vscode\cf_\banshua\1700-1900\2178D.cpp", "C++", 59, 0, 0, 3, 2, 64
"d:\Vscode\.vscode\cf_\banshua\1700-1900\2179E.cpp", "C++", 101, 0, 0, 4, 7, 112
"d:\Vscode\.vscode\cf_\banshua\1700-1900\2180D.cpp", "C++", 40, 0, 0, 0, 0, 40
"d:\Vscode\.vscode\cf_\banshua\1700-1900\2181M.cpp", "C++", 31, 0, 0, 0, 0, 31
"d:\Vscode\.vscode\cf_\banshua\1700-1900\2182D.cpp", "C++", 85, 0, 0, 0, 0, 85
"d:\Vscode\.vscode\cf_\banshua\1700-1900\2182E.cpp", "C++", 68, 0, 0, 13, 4, 85
"d:\Vscode\.vscode\cf_\banshua\1700-1900\2184D.cpp", "C++", 49, 0, 0, 3, 0, 52
"d:\Vscode\.vscode\cf_\banshua\1700-1900\2184E.cpp", "C++", 71, 0, 0, 4, 1, 76
"d:\Vscode\.vscode\cf_\banshua\1700-1900\2184F.cpp", "C++", 61, 0, 0, 1, 1, 63
"d:\Vscode\.vscode\cf_\banshua\1700-1900\2185G.cpp", "C++", 71, 0, 0, 10, 6, 87
"d:\Vscode\.vscode\cf_\banshua\1700-1900\2187B.cpp", "C++", 83, 0, 0, 7, 1, 91
"d:\Vscode\.vscode\cf_\banshua\1700-1900\2189C2.cpp", "C++", 53, 0, 0, 0, 3, 56
"d:\Vscode\.vscode\cf_\banshua\1700-1900\2193F.cpp", "C++", 50, 0, 0, 3, 3, 56
"d:\Vscode\.vscode\cf_\banshua\1700-1900\2206H.cpp", "C++", 47, 0, 0, 1, 2, 50
"d:\Vscode\.vscode\cf_\banshua\1700-1900\2208D1.cpp", "C++", 93, 0, 0, 1, 5, 99
"d:\Vscode\.vscode\cf_\banshua\1700-1900\t1.cpp", "C++", 32, 0, 0, 1, 0, 33
"d:\Vscode\.vscode\cf_\banshua\1700-1900\t2.cpp", "C++", 54, 0, 0, 0, 2, 56
"d:\Vscode\.vscode\cf_\banshua\2000-2300\2074G.cpp", "C++", 35, 0, 0, 1, 3, 39
"d:\Vscode\.vscode\cf_\banshua\2000-2300\2194E.cpp", "C++", 78, 0, 0, 5, 3, 86
"d:\Vscode\.vscode\cf_\banshua\2000-2300\2231D.cpp", "C++", 19, 0, 0, 0, 1, 20
"d:\Vscode\.vscode\cf_\banshua\2000-2300\600D.cpp", "C++", 44, 0, 0, 5, 0, 49
