Date : 2026-08-11 15:57:45
Directory : d:\Vscode\.vscode
Total : 274 files,  15406 codes, 850 comments, 700 blanks, all 16956 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        274 |     15,406 |        850 |        700 |     16,956 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Vscode\.vscode\hangdian\xiaji\2\1011_2.cpp                          | C++      |         33 |          1 |          0 |         34 |
| d:\Vscode\.vscode\hangdian\xiaji\3\1002.cpp                            | C++      |         22 |          1 |          1 |         24 |
| d:\Vscode\.vscode\hangdian\xiaji\3\1003.cpp                            | C++      |         36 |          2 |          0 |         38 |
| d:\Vscode\.vscode\hangdian\xiaji\3\1004.cpp                            | C++      |        110 |          1 |          6 |        117 |
| d:\Vscode\.vscode\hangdian\xiaji\3\1005.cpp                            | C++      |         72 |          2 |          1 |         75 |
| d:\Vscode\.vscode\hangdian\xiaji\3\1006.cpp                            | C++      |         52 |          0 |          1 |         53 |
| d:\Vscode\.vscode\hangdian\xiaji\3\1009.cpp                            | C++      |         63 |          1 |          2 |         66 |
| d:\Vscode\.vscode\hangdian\xiaji\3\1010.cpp                            | C++      |         30 |          1 |          0 |         31 |
| d:\Vscode\.vscode\hangdian\xiaji\4\1003.cpp                            | C++      |         79 |          0 |          0 |         79 |
| d:\Vscode\.vscode\hangdian\xiaji\4\1007.cpp                            | C++      |         46 |          0 |          0 |         46 |
| d:\Vscode\.vscode\hangdian\xiaji\4\1007_2.cpp                          | C++      |         73 |          1 |          2 |         76 |
| d:\Vscode\.vscode\hangdian\xiaji\4\1007_3.cpp                          | C++      |         47 |          1 |          0 |         48 |
| d:\Vscode\.vscode\hangdian\xiaji\4\1011.cpp                            | C++      |         38 |          0 |          0 |         38 |
| d:\Vscode\.vscode\hangdian\xiaji\5\1001.cpp                            | C++      |         16 |          1 |          1 |         18 |
| d:\Vscode\.vscode\hangdian\xiaji\5\1003.cpp                            | C++      |         77 |          1 |          4 |         82 |
| d:\Vscode\.vscode\hangdian\xiaji\5\1005.cpp                            | C++      |         50 |         50 |         14 |        114 |
| d:\Vscode\.vscode\hangdian\xiaji\5\1008.cpp                            | C++      |         88 |          3 |          3 |         94 |
| d:\Vscode\.vscode\hangdian\xiaji\5\1010.cpp                            | C++      |         53 |          0 |          3 |         56 |
| d:\Vscode\.vscode\hangdian\xiaji\5\1010_2.cpp                          | C++      |        110 |          2 |          6 |        118 |
| d:\Vscode\.vscode\hangdian\xiaji\5\1010_3.cpp                          | C++      |         91 |          2 |          2 |         95 |
| d:\Vscode\.vscode\hangdian\xiaji\6\1001.cpp                            | C++      |         16 |          1 |          1 |         18 |
| d:\Vscode\.vscode\hangdian\xiaji\6\1002.cpp                            | C++      |        151 |         38 |         15 |        204 |
| d:\Vscode\.vscode\hangdian\xiaji\6\1002_2.cpp                          | C++      |        137 |          5 |          5 |        147 |
| d:\Vscode\.vscode\hangdian\xiaji\6\1008.cpp                            | C++      |         18 |          1 |          1 |         20 |
| d:\Vscode\.vscode\hangdian\xiaji\6\1010.cpp                            | C++      |         32 |          0 |          3 |         35 |
| d:\Vscode\.vscode\hangdian\xiaji\6\1010_2.cpp                          | C++      |         55 |          0 |          2 |         57 |
| d:\Vscode\.vscode\hangdian\xiaji\6\1012.cpp                            | C++      |         67 |         65 |         18 |        150 |
| d:\Vscode\.vscode\luogu\lanqiaomoni\2023guosaimoni\a.cpp               | C++      |         34 |          1 |          0 |         35 |
| d:\Vscode\.vscode\luogu\lanqiaomoni\2023guosaimoni\b.cpp               | C++      |         46 |          2 |          1 |         49 |
| d:\Vscode\.vscode\luogu\lanqiaomoni\2023guosaimoni\c.cpp               | C++      |         52 |          3 |          1 |         56 |
| d:\Vscode\.vscode\luogu\lanqiaomoni\2026guosaimonio\a.cpp              | C++      |         31 |          3 |          1 |         35 |
| d:\Vscode\.vscode\luogu\lanqiaomoni\2026guosaimonio\c.cpp              | C++      |         54 |          2 |          2 |         58 |
| d:\Vscode\.vscode\luogu\lanqiaomoni\2026guosaimonio\d.cpp              | C++      |         43 |          2 |          1 |         46 |
| d:\Vscode\.vscode\luogu\lanqiaomoni\2026guosaimonio\e.cpp              | C++      |         36 |          0 |          3 |         39 |
| d:\Vscode\.vscode\luogu\lanqiaomoni\2026guosaimonio\f.cpp              | C++      |         56 |          1 |          1 |         58 |
| d:\Vscode\.vscode\luogu\lanqiaomoni\2026guosaimonio\g.cpp              | C++      |         40 |          1 |          1 |         42 |
| d:\Vscode\.vscode\luogu\quyusai\nanning2017\a.cpp                      | C++      |         22 |          0 |          1 |         23 |
| d:\Vscode\.vscode\luogu\quyusai\nanning2017\f.cpp                      | C++      |        368 |         19 |        132 |        519 |
| d:\Vscode\.vscode\luogu\quyusai\nanning2017\i.cpp                      | C++      |         45 |          0 |          0 |         45 |
| d:\Vscode\.vscode\luogu\quyusai\nanning2017\j.cpp                      | C++      |         54 |          0 |          0 |         54 |
| d:\Vscode\.vscode\luogu\quyusai\nanning2017\l.cpp                      | C++      |        241 |          0 |         36 |        277 |
| d:\Vscode\.vscode\luogu\quyusai\nanning2017\m.cpp                      | C++      |         95 |          0 |          5 |        100 |
| d:\Vscode\.vscode\luogu\quyusai\nanning2017\test.cpp                   | C++      |         19 |          1 |          6 |         26 |
| d:\Vscode\.vscode\niuke\2026shujia\1\a.cpp                             | C++      |         36 |          0 |          1 |         37 |
| d:\Vscode\.vscode\niuke\2026shujia\1\c.cpp                             | C++      |         94 |          3 |          0 |         97 |
| d:\Vscode\.vscode\niuke\2026shujia\1\f.cpp                             | C++      |         28 |          2 |          0 |         30 |
| d:\Vscode\.vscode\niuke\2026shujia\1\g.cpp                             | C++      |         35 |          1 |          1 |         37 |
| d:\Vscode\.vscode\niuke\2026shujia\1\j.cpp                             | C++      |        390 |         29 |         17 |        436 |
| d:\Vscode\.vscode\niuke\2026shujia\1\j_2.cpp                           | C++      |        204 |          0 |          3 |        207 |
| d:\Vscode\.vscode\niuke\2026shujia\2\b.cpp                             | C++      |         47 |          1 |          0 |         48 |
